token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
SKR,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,Orca,dex,279319.57614475733,78905.1135340547,VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,SKR/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,279319.57614475733,78905.1135340547,VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,SKR/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,278968.78187116253,45026.1078678593,8phK65jxmTPEN158xLgSr4oZvssw9SyTErpNZj3g7px4,SOL/bSOL
bSOL,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,Orca,dex,278968.78187116253,45026.1078678593,8phK65jxmTPEN158xLgSr4oZvssw9SyTErpNZj3g7px4,SOL/bSOL
SOL,So11111111111111111111111111111111111111112,Orca,dex,276925.21440271765,1432803.12929357,DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg,SOL/JupSOL
JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,Orca,dex,276925.21440271765,1432803.12929357,DtYKbQELgMZ3ihFUrCcCs9gy4djcUuhwgR7UpxVpP2Tg,SOL/JupSOL
SOL,So11111111111111111111111111111111111111112,Orca,dex,274381.7120210147,144595.068805242,FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC,SOL/USDT
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Orca,dex,274381.7120210147,144595.068805242,FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC,SOL/USDT
MPLX,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,Orca,dex,270116.23514163954,68942.561764959,78QBVQz3EnpuzmY42LRcCkn7gSyuFEMmQn1m5bY1yHgw,MPLX/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,270116.23514163954,68942.561764959,78QBVQz3EnpuzmY42LRcCkn7gSyuFEMmQn1m5bY1yHgw,MPLX/USDC
ZEC,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,Orca,dex,256244.2214369413,1212353.81936454,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,ZEC/USDC
