token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
SPACEX,PreANxuXjsy2pvisWWMNB6YaJNzr7681wJJr2rHsfTh,Meteora,dex,276931.8090968624,228345.45834135433,v4D5b4knJ83WzErtDiugxChUZUfWxe2FtDLguarvgFc,SPACEX-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,276931.8090968624,228345.45834135433,v4D5b4knJ83WzErtDiugxChUZUfWxe2FtDLguarvgFc,SPACEX-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,251058.85401286185,16909.9003373303,C1cq3X7JvzcWCLx6TXa9KEwMGmemK8WHXurh8bfjN73k,INF-USDC
INF,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,Meteora,dex,251058.85401286185,16909.9003373303,C1cq3X7JvzcWCLx6TXa9KEwMGmemK8WHXurh8bfjN73k,INF-USDC
OPENAI,PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF,Meteora,dex,249497.7331653404,401193.4354856781,Y6wSJPjwcnfY8sHM2b3gTht3gGCGdf838gRkQJpfNYe,OPENAI-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,249497.7331653404,401193.4354856781,Y6wSJPjwcnfY8sHM2b3gTht3gGCGdf838gRkQJpfNYe,OPENAI-USDC
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Meteora,dex,240491.2935026999,2298129.0226203613,5SHjDACvwtox5nY8kpWNYyaceWjtTG8C6L821D9Gtpjf,JLP-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,240491.2935026999,2298129.0226203613,5SHjDACvwtox5nY8kpWNYyaceWjtTG8C6L821D9Gtpjf,JLP-USDC
ANDURIL,PresTj4Yc2bAR197Er7wz4UUKSfqt6FryBEdAriBoQB,Meteora,dex,240380.10424495713,10917.73042141831,Gug9TrrLMoz8NpC4pE8ANQ6H7XzMMZYPuu1EJCn59ZwM,ANDURIL-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,240380.10424495713,10917.73042141831,Gug9TrrLMoz8NpC4pE8ANQ6H7XzMMZYPuu1EJCn59ZwM,ANDURIL-USDC
JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,Meteora,dex,212542.14443860803,198187.04428614324,5cvcHrD2uh2CXhmZnMHsTVWJW1qtyikVaN3MCJNaCKMh,JupSOL-JitoSOL
JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,Meteora,dex,212542.14443860803,198187.04428614324,5cvcHrD2uh2CXhmZnMHsTVWJW1qtyikVaN3MCJNaCKMh,JupSOL-JitoSOL
MET,METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,Meteora,dex,202080.2349099646,475749.6638079279,AsSyvUnbfaZJPRrNh3kUuvZTeHKoMVWEoHz86f4Q5D9x,MET-SOL
SOL,So11111111111111111111111111111111111111112,Meteora,dex,202080.2349099646,475749.6638079279,AsSyvUnbfaZJPRrNh3kUuvZTeHKoMVWEoHz86f4Q5D9x,MET-SOL
SOL,So11111111111111111111111111111111111111112,Meteora,dex,201096.52888685526,64936.671602112234,FmMXv9kLxzn1vaJXMD4rnWumeYVchtwinyVJ9zxBJqjM,Buttcoin-SOL
